"method","elapsed.time","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes.setup","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se","leak.l"
"gd06",31.75764,"C2","IIS-BMP2","FIC","Substrate C","SC",321.69,146.13,2.14,471.9,471.9,471.9,0,1.94,802.16,22.3,1.7166224,3.258699,1.89832021299501,520,371.73,NA,570.984211565588,1.68724290493417,0.0400475753488909,4,4.74710253417286,714.613238949846,143.629027384258,0.200988478180626,3.40910859938297,0,FALSE
"gd06",31.75764,"C3","IIS-BMP2","FIC","Substrate C","SC",321.78,142.2,2.18,468.3,468.3,468.3,0,2.14000000000004,802.16,22.3,1.7487088,3.17106,1.81337224356622,520,375.62,NA,519.94668657321,1.68724290493417,0.0400475753488909,4,4.74710253417286,657.148455719473,137.201769146263,0.208783522128267,3.25655433003613,0,FALSE
"gd06",31.75764,"D1","IIS-BMP2","LBD","Substrate D","SD",322.24,143.09,3.79,471.15,471.15,471.15,0,2.02999999999992,861.15,22.3,3.2637585,3.190907,0.977678648711294,520,373.12,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",332.575974601245,1.68724290493417,0.0400475753488909,4,4.74710253417286,406.548233047153,73.9722584459085,0.181951986093932,1.75576947763531,0,FALSE
"gd06",31.75764,"D2","IIS-BMP2","LBD","Substrate D","SD",323.34,142.92,3.78,472.1,472.1,472.1,0,2.06000000000006,861.15,22.3,3.255147,3.187116,0.979100483019661,520,373.3,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",331.689628367704,1.68724290493417,0.0400475753488909,4,4.74710253417286,405.769464385307,74.0798360176028,0.18256631540726,1.75832288645136,0,FALSE
"gd06",31.75764,"D3","IIS-BMP2","LBD","Substrate D","SD",321.89,144.13,3.78,472.51,472.51,472.51,0,2.71000000000004,861.15,22.3,3.255147,3.214099,0.987389816803972,520,372.09,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",339.25254116041,1.68724290493417,0.0400475753488909,4,4.74710253417286,413.959557429771,74.7070162693611,0.18046935969593,1.77320933126389,0,FALSE
"gd07",31.75764,"L1","IIS-BMP2","Cellulose","Cellulose","CEL",321.75,142.37,1.6,467.77,467.75,467.76,14.1421356237181,2.03999999999996,989.19,22.3,1.582704,3.174851,2.00596637147565,520,376.03,NA,385.44825073709,1.44990160962826,0.0127015846611754,4,1.75206159877731,515.872191134521,130.423940397431,0.252822196347895,1.1425538876578,0,FALSE
"gd07",31.75764,"L2","IIS-BMP2","Cellulose","Cellulose","CEL",322.04,142.8,1.62,468.51,468.5,468.505,7.07106781185904,2.04499999999996,989.19,22.3,1.6024878,3.18444,1.98718517545032,520,375.58,NA,393.999362069371,1.44990160962826,0.0127015846611754,4,1.75206159877731,523.202186487077,129.202824417705,0.24694626237174,1.13185653557915,0,FALSE
"gd07",31.75764,"L3","IIS-BMP2","Cellulose","Cellulose","CEL",321.59,145.19,1.64,470.55,470.55,470.55,0,2.13000000000005,989.19,22.3,1.6222716,3.237737,1.99580452496364,520,373.17,NA,389.335214989074,1.44990160962826,0.0127015846611754,4,1.75206159877731,519.098452354462,129.763237365387,0.249978085615211,1.1367659256046,0,FALSE
"gd07",31.75764,"C1","IIS-BMP2","FIC","Substrate C","SC",322.03,142.25,2.12,468.51,468.52,468.515,7.07106781185904,2.11500000000001,802.16,22.3,1.7005792,3.172175,1.86534975848229,520,375.63,NA,497.718268639156,1.44990160962826,0.0127015846611754,4,1.75206159877731,618.999596771136,121.28132813198,0.195931190851521,1.06246178834376,0,FALSE
"gd07",31.75764,"C2","IIS-BMP2","FIC","Substrate C","SC",321.69,146.13,2.14,471.9,471.9,471.9,0,1.94,802.16,22.3,1.7166224,3.258699,1.89832021299501,520,371.73,NA,494.860672350151,1.44990160962826,0.0127015846611754,4,1.75206159877731,618.285673803573,123.425001453422,0.199624553313901,1.08124102687788,0,FALSE
