"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"D2","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,472.09,146,471.93,NA,2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.170000000000016,0.159999999999968,0.0100000000000477,0.170000000000016,0.159999999999968,0.0100000000000477,0.6,373.3,0.170000000000016,0.170000000000016,125.506648686882,75.435666194355,125.506648686882,75.435666194355,172.946960869962,103.949626143417,"grav"
"D2","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,471.92,140,471.75,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,0.180000000000007,0.170000000000016,0.00999999999999091,0.350000000000023,0.329999999999984,0.0200000000000387,0.6,373.3,0.180000000000007,0.350000000000023,145.400890748645,87.3930837420491,270.907539435527,162.828749936404,165.515638480671,99.48303603838,"grav"
"D2","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,471.76,289,471.43,NA,2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,0.319999999999993,0.329999999999984,-0.00999999999999091,0.670000000000016,0.659999999999968,0.0100000000000477,0.6,373.3,0.319999999999993,0.670000000000016,258.175384415228,155.176098813178,529.082923850755,318.004848749582,188.048838420804,113.026597011116,"grav"
"D2","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,471.43,171,471.21,NA,2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,0.220000000000027,0.220000000000027,0,0.890000000000043,0.879999999999995,0.0100000000000477,0.6,373.3,0.220000000000027,0.890000000000043,177.490633248147,106.680596625088,706.573557098902,424.68544537467,239.313213368288,143.839006685512,"grav"
"D2","03.10.2018",5.68888888888889,"IIS-BMP2","08.07",20,1002.27,471.23,384,470.78,NA,2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,0.430000000000007,0.450000000000045,-0.0200000000000387,1.32000000000005,1.33000000000004,-0.00999999999999091,0.6,373.3,0.430000000000007,1.32000000000005,347.026092462264,208.579742552323,1053.59964956117,633.265187926993,176.142958458111,105.870577820002,"grav"
"D2","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,470.78,392,470.32,"Manometer reassembled (no pressure leaks). 10 minutes technical break in sampling.",2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,0.45999999999998,0.45999999999998,0,1.78000000000003,1.79000000000002,-0.00999999999999091,0.6,373.3,0.45999999999998,1.78000000000003,371.241530752436,223.134411477989,1424.8411803136,856.399599404982,174.587787159866,104.935843412248,"grav"
"D2","06.10.2018",9.23958333333333,"IIS-BMP2","21.20",20.4,1001.38,470.33,223,470.04,NA,2022-10-07 21:20:00,9.23958333334303,2018-10-06 21:20:00,2018-09-27 15:35:00,0.279999999999973,0.289999999999964,-0.00999999999999091,2.06,2.07999999999998,-0.0199999999999818,0.6,373.3,0.279999999999973,2.06,225.877258816568,135.763337442723,1650.71843913017,992.162936847705,158.587641489935,95.3189692430628,"grav"
"D2","08.10.2018",10.8388888888889,"IIS-BMP2","11.43",20.4,1007.72,470.05,182,469.82,NA,2022-10-09 11:43:00,10.8388888888439,2018-10-08 11:43:00,2018-09-27 15:35:00,0.220000000000027,0.230000000000018,-0.00999999999999091,2.28000000000003,2.31,-0.0299999999999727,0.6,373.3,0.220000000000027,2.28000000000003,177.493213236484,106.68214732492,1828.21165236665,1098.84508417262,110.981427295066,66.7052940286081,"grav"
"D2","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,469.82,224,469.55,NA,2022-10-12 12:18:00,13.8631944444423,2018-10-11 12:13:00,2018-09-27 15:35:00,0.269999999999982,0.269999999999982,0,2.55000000000001,2.57999999999998,-0.0299999999999727,0.6,373.3,0.269999999999982,2.55000000000001,217.815894235367,130.918061005333,2046.02754660202,1229.76314517796,72.1045718848113,43.3383926086618,"grav"
"D2","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,469.54,198,469.32,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,0.230000000000018,0.220000000000027,0.00999999999999091,2.78000000000003,2.80000000000001,-0.0199999999999818,0.6,373.3,0.230000000000018,2.78000000000003,185.611562932982,111.561674618186,2231.639109535,1341.32481979614,42.3649787008232,25.4634350055774,"grav"
"D2","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,469.3,108,469.18,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,0.139999999999986,0.120000000000005,0.0199999999999818,2.92000000000002,2.92000000000002,0,0.6,373.3,0.139999999999986,2.92000000000002,112.956227980865,67.8922463286886,2344.59533751587,1409.21706612483,31.7317534710194,19.0723438769629,"grav"
"D2","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,469.1,56,469.03,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,0.150000000000034,0.07000000000005,0.0799999999999841,3.07000000000005,2.99000000000007,0.0799999999999841,0.6,373.3,0.150000000000034,3.07000000000005,120.972673325192,72.710524096336,2465.56801084106,1481.92759022117,19.7059558357778,11.8442482690864,"grav"
"D2","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,469.01,44,468.97,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,0.0599999999999454,0.0399999999999636,0.0199999999999818,3.13,3.03000000000003,0.0999999999999659,0.6,373.3,0.0599999999999454,3.13,48.4284537728522,29.1078816249156,2513.99646461391,1511.03547184608,12.6840621012927,7.62374491449226,"grav"
"D2","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,468.94,125,468.79,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,0.180000000000007,0.149999999999977,0.0300000000000296,3.31,3.18000000000001,0.129999999999995,0.6,373.3,0.180000000000007,3.31,145.037419913054,87.1746199003972,2659.03388452697,1598.21009174648,7.97730738607378,4.79475393058217,"grav"
"D2","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,468.76,146,468.6,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,0.189999999999998,0.159999999999968,0.0300000000000296,3.5,3.33999999999997,0.160000000000025,0.6,373.3,0.189999999999998,3.5,153.139067045625,92.0441081315888,2812.17295157259,1690.25419987807,4.95651382404756,2.97910848732301,"grav"
"D2","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,468.55,135,468.41,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,0.189999999999998,0.139999999999986,0.0500000000000114,3.69,3.47999999999996,0.210000000000036,0.6,373.3,0.189999999999998,3.69,153.020800601675,91.9730241843942,2965.19375217427,1782.22722406246,3.11880700994185,1.87455634413078,"grav"
"D3","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,472.51,0,472.51,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,0,0,0,0,0.6,372.09,0,0,0,0,0,0,NA,NA,"grav"
"D3","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,472.5,141,472.34,NA,2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.170000000000016,0.160000000000025,0.00999999999999091,0.170000000000016,0.160000000000025,0.00999999999999091,0.6,372.09,0.170000000000016,0.170000000000016,125.544470628272,75.4583990405855,125.544470628272,75.4583990405855,172.999079143265,103.980951787984,"grav"
"D3","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,472.34,135,472.18,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,0.159999999999968,0.159999999999968,0,0.329999999999984,0.319999999999993,0.00999999999999091,0.6,372.09,0.159999999999968,0.329999999999984,129.245236220987,77.6827411040252,254.789706849259,153.141140144611,147.125011982783,88.4293653674279,"grav"
"D3","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,472.18,287,471.86,NA,2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,0.319999999999993,0.319999999999993,0,0.649999999999977,0.639999999999986,0.00999999999999091,0.6,372.09,0.319999999999993,0.649999999999977,258.175384415228,155.176098813178,512.965091264487,308.317238957789,188.048838420804,113.026597011116,"grav"
"D3","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,471.86,162,471.67,NA,2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,0.189999999999998,0.189999999999998,0,0.839999999999975,0.829999999999984,0.00999999999999091,0.6,372.09,0.189999999999998,0.839999999999975,153.287365077924,92.133242539836,666.252456342411,400.450481497625,206.679593363493,124.224596682925,"grav"
"D3","03.10.2018",5.68888888888889,"IIS-BMP2","08.07",20,1002.27,471.67,384,471.23,NA,2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,0.439999999999998,0.439999999999998,0,1.27999999999997,1.26999999999998,0.00999999999999091,0.6,372.09,0.439999999999998,1.27999999999997,355.096466705565,213.430434239582,1021.34892304798,613.880915737207,180.239306329226,108.33268428093,"grav"
"D3","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,471.22,388,470.77,NA,2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,0.460000000000036,0.450000000000045,0.00999999999999091,1.74000000000001,1.72000000000003,0.0199999999999818,0.6,372.09,0.460000000000036,1.74000000000001,371.241530752482,223.134411478016,1392.59045380046,837.015327215223,174.587787159887,104.935843412261,"grav"
"D3","06.10.2018",9.23958333333333,"IIS-BMP2","21.20",20.4,1001.38,470.76,231,470.48,NA,2022-10-07 21:20:00,9.23958333334303,2018-10-06 21:20:00,2018-09-27 15:35:00,0.289999999999964,0.279999999999973,0.00999999999999091,2.02999999999997,2,0.0299999999999727,0.6,372.09,0.289999999999964,2.02999999999997,233.944303774296,140.612028065674,1626.53475757475,977.627355280897,164.251485828857,98.723218144598,"grav"
