"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","xCH4c.gdv"
"C3-2","19022017",5,1613,"1559",236,121.5,0.4,403.16,402.93,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.240000000000009,0.230000000000018,0.00999999999999091,1.185,0.035000000000025,1.14999999999998,209.026179395598,1032.06676076573,0.675628132119076,"",141.424156015638,698.281770327187,210.34080945469,142.313616116365,0.676585853621625
"C3-2","20022017",6,1102,"1052",180,93,0.3,402.92,402.76,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.170000000000016,0.160000000000025,0.00999999999999091,1.35500000000002,0.0450000000000159,1.31,148.060210405224,1180.12697117095,0.675628132119076,"",100.175443844416,798.457214171602,188.178908193753,127.319187233856,0.676585853621625
"C3-2","21022017",7,1550,"1540",105,54.6,0.3,402.75,402.64,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,20,30,101.325,150,0.120000000000005,0.110000000000014,0.00999999999999091,1.47500000000002,0.0550000000000068,1.42000000000002,104.513089697799,1284.64006086875,0.675628132119076,"",70.7120780078189,869.169292179421,87.0942414148326,58.9267316731824,0.676585853621626
"C3-2","22022017",8,1718,"1709",61,31.1,0.1,402.64,402.58,NA,2017-02-22 17:09:00,2017-02-14 12:30:00,8.19375,20,30,101.325,150,0.0600000000000023,0.0600000000000023,0,1.53500000000003,0.0550000000000068,1.48000000000002,52.2565448488995,1336.89660571765,0.675628132119076,"",35.3560390039095,904.525331183331,49.214796979997,33.2980354255263,0.676585853621625
"C3-2","26022017",12,1135,"1128",75,39.2,0.1,402.53,402.46,NA,2017-02-26 11:28:00,2017-02-14 12:30:00,11.9569444444444,20,30,101.325,150,0.120000000000005,0.0699999999999932,0.0500000000000114,1.65500000000003,0.105000000000018,1.55000000000001,104.513089697799,1441.40969541545,0.675628132119076,"",70.7120780078189,975.237409191149,27.7724394103766,18.7904396256245,0.676585853621625
"C3-2","07032017",21,1042,"1034",50,26.7,0.3,402.32,402.27,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444,20,30,101.325,150,0.189999999999998,0.0500000000000114,0.139999999999986,1.84500000000003,0.245000000000005,1.60000000000002,165.479058688174,1606.88875410362,0.675628132119076,"",111.960790179041,1087.19819937019,18.463493298541,12.4921383742305,0.676585853621625
"C3-3","14022017",0,1230,"1230",0,0,0,401.855,401.855,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,20,30,101.325,150,0,0,0,0,0,0,0,0,0.673722363295444,"",0,0,NA,NA,NA
"C3-3","15022017",1,949,"0929",183,92.5,0.3,401.86,401.63,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.225000000000023,0.230000000000018,-0.00499999999999545,0.225000000000023,-0.00499999999999545,0.230000000000018,195.553856035801,195.553856035801,0.673722363295444,"",131.936862703321,131.936862703321,223.667635179947,150.904751622543,0.674683002308921
"C3-3","16022017",2,1303,"1250",214,106.1,0.5,401.63,401.38,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.25,0.25,0,0.475000000000023,-0.00499999999999545,0.480000000000018,217.282062261979,412.835918297779,0.673722363295444,"",146.596514114786,278.533376818106,190.667988822212,128.640451142774,0.674683002308921
"C3-3","17022017",3,909,"0854",180,85.9,0.5,401.38,401.19,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.189999999999998,0.189999999999998,0,0.66500000000002,-0.00499999999999545,0.670000000000016,165.134367319102,577.970285616881,0.673722363295444,"",111.413350727236,389.946727545342,197.502897790288,133.251848045863,0.674683002308921
"C3-3","18022017",4,1619,"1608",263,134.2,0.5,401.18,400.92,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.269999999999982,0.259999999999991,0.00999999999999091,0.935000000000002,0.00499999999999545,0.930000000000007,234.664627242921,812.634912859803,0.673722363295444,"",158.324235243958,548.2709627893,180.318603644507,121.657896879029,0.674683002308921
"C3-3","19022017",5,1613,"1559",208,106.7,0.4,400.9,400.69,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.230000000000018,0.20999999999998,0.0200000000000387,1.16500000000002,0.0250000000000341,1.13999999999999,199.899497281036,1012.53441014084,0.673722363295444,"",134.868792985614,683.139755774914,201.156726823684,135.717024388039,0.674683002308921
