"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C1-2","16022017",2.01388888888889,2,1250,"1250",210,108.2,0.5,410.43,410.17,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.240000000000009,0.259999999999991,-0.0199999999999818,0.444999999999993,0.45999999999998,-0.0149999999999864,0.5518,173.874,20,101.325,191.142853285113,105.679323846425,332.224483090792,171.873280835867,167.730474546352,92.7350556604825,"vol"
"C1-2","17022017",2.85,3,858,"0854",146,76.8,0.5,410.18,410,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.170000000000016,0.180000000000007,-0.00999999999999091,0.615000000000009,0.639999999999986,-0.0249999999999773,0.5719,173.874,20,101.325,132.889793236317,76.1419194492277,465.114276327109,248.015200285095,158.937958687954,91.0667475140265,"vol"
"C1-2","18022017",4.15138888888889,4,1608,"1608",244,126.5,0.5,410.02,409.76,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.240000000000009,0.259999999999991,-0.0199999999999818,0.855000000000018,0.899999999999977,-0.0449999999999591,0.6684,173.874,20,101.325,222.089791436037,148.659937002269,687.204067763146,396.675137287364,170.655976343593,114.231755220527,"vol"
"C1-2","19022017",5.14513888888889,5,1559,"1559",245,122.13,0.3,409.76,409.51,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.25,0.25,0,1.10500000000002,1.14999999999998,-0.0449999999999591,0.7131,173.874,20,101.325,222.999995499299,159.220640740271,910.204063262445,555.895778027635,224.402511194263,160.222028417883,"vol"
"C1-2","20022017",5.93194444444444,6,1052,"1052",190,99.2,0.7,409.51,409.33,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.180000000000007,0.180000000000007,0,1.28500000000003,1.32999999999998,-0.0449999999999591,0.714,173.874,20,101.325,172.938772019864,123.632585425651,1083.14283528231,679.528363453286,219.798615806359,157.132323930218,"vol"
"C1-2","21022017",7.13194444444444,7,1540,"1540",292,151.6,0.6,409.32,409.06,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.269999999999982,0.259999999999991,0.00999999999999091,1.55500000000001,1.58999999999997,-0.0349999999999682,0.712863052543786,173.874,20,101.325,265.779586472634,189.702150214422,1348.92242175494,869.230513667708,221.482988727195,158.085125178685,"vol"
"C1-2","22022017",8.19375,8,1709,"1709",232,120.2,0.4,409.05,408.84,NA,2017-02-22 17:09:00,2017-02-14 12:30:00,0.220000000000027,0.210000000000036,0.00999999999999091,1.77500000000003,1.80000000000001,-0.0249999999999773,0.711857038272635,173.874,20,101.325,211.167342676887,150.510214037852,1560.08976443183,1019.74072770556,198.875718413811,141.749318649122,"vol"
"C1-2","23022017",9.11111111111111,9,1510,"1510",75,38.1,0.4,408.82,408.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.089999999999975,0.0699999999999932,0.0199999999999818,1.86500000000001,1.87,-0.00499999999999545,0.710987878787879,173.874,20,101.325,68.2653047446833,48.5970956115637,1628.35506917651,1068.33782331712,74.4148666406844,52.9748809088961,"vol"
"C1-2","26022017",11.9569444444444,12,1128,"1128",70,37.4,0.3,408.71,408.65,NA,2017-02-26 11:28:00,2017-02-14 12:30:00,0.100000000000023,0.0600000000000023,0.0400000000000205,1.96500000000003,1.93000000000001,0.035000000000025,0.708291576313595,173.874,20,101.325,63.7142844283711,45.1858116566382,1692.06935360488,1113.52363497376,22.3886211754159,15.8778840374717,"vol"
"C1-2","07032017",20.9194444444444,21,1034,"1034",84,46.2,0.2,408.5,408.43,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.21999999999997,0.0699999999999932,0.149999999999977,2.185,2,0.185000000000002,0.6998,173.874,20,101.325,76.4571413140454,53.5748926267352,1768.52649491893,1167.0985276005,8.53078285233421,5.97767281748789,"vol"
