"id","exper","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","time.d","xCH4.GC","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"B3","2","19012017",1143,"1103",246,846.9,1.135,929,845.7,NA,"06-02-2017 11:42:33",0.5027,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.4909,817.3,30,1.5,1.19999999999993,2.19999999999993,869.139185999077,427.610428426548,1610.92606554912,831.131441258935,1086.42398249885,534.513035533186,"grav"
"B3","2","20012017",1521,"1450",264,845.7,0.438,244,845.3,NA,"02-02-2017 15:57:44",0.5415,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5415,817.3,30,1.5,0.400000000000091,2.60000000000002,303.730953497416,164.800049943688,1914.65701904654,995.931491202623,253.109127914513,137.333374953074,"grav"
"B3","2","22012017",648,"0617",291,845.3,0.283,229,845.1,NA,"10-02-2017 15:51:44",0.5595,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5481,817.3,30,1.5,0.199999999999932,2.79999999999995,152.829766055954,83.9315109826288,2067.48678510249,1079.86300218525,95.5186037849713,52.457194364143,"grav"
"B3","2","24012017",940,"0923",306,845.1,0.178,135,844.9,NA,"03-02-2017 11:34:15",0.5647,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.5543,817.3,30,1.5,0.200000000000045,3,153.746783886937,85.3879203496805,2221.23356898943,1165.25092253493,69.8849017667897,38.8126910680366,"grav"
"B3","2","28012017",1851,"1822",336,844.9,0.21,155,844.7,NA,NA,NA,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.5606425,817.3,30,1.5,0.199999999999932,3.19999999999993,154.696283256785,86.8959169553106,2375.92985224622,1252.14683949024,35.9758798271594,20.2083527803048,"grav"
"B3","2","01022017",1043,"1013",363,844.7,0.11,78,844.6,NA,"20-02-2017 11:33:16",0.5661,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.5661,817.3,30,1.5,0.100000000000023,3.29999999999995,77.7613444359085,44.1042079190742,2453.69119668213,1296.25104740932,21.0165795772726,11.9200561943444,"grav"
"B3","2","06022017",1749,"1701",387,844.6,0.107,75,844.5,NA,"08-02-2017 12:05:12",0.5801,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5683,817.3,30,1.5,0.100000000000023,3.39999999999998,77.9291582705759,44.3707301528715,2531.6203549527,1340.62177756219,14.7036147680332,8.37183587790028,"grav"
"B3","2","17022017",1724,"1707",402,844.5,0.146,105,844.3,NA,"27-02-2017 15:02:03",0.5761,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5761,817.3,30,1.5,0.200000000000045,3.60000000000002,157.05997893455,90.6499426784478,2688.68033388725,1431.27172024064,14.2781799031409,8.24090387985889,"grav"
"C1","2","17012017",1520,"1520",191,1037.8,0,0,1037.8,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,NA,623.16,30,1.5,0,0,0,0,0,0,NA,NA,"grav"
"C1","2","18012017",1553,"1527",214,1037.8,1.107,670,1037,NA,"17-02-2017 14:19:52",0.6443,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.6354,623.16,30,1.5,0.799999999999955,0.799999999999955,599.587178483024,381.584822098849,599.587178483024,381.584822098849,599.587178483024,381.584822098849,"grav"
"C1","2","19012017",1130,"1103",241,1037,0.946,567,1036.4,NA,"06-02-2017 13:10:28",0.6361,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.6251,623.16,30,1.5,0.599999999999909,1.39999999999986,495.156597561007,310.029603738859,1094.74377604403,691.614425837708,618.945746951259,387.537004673573,"grav"
"C1","2","20012017",1507,"1450",259,1036.4,0.878,538,1035.8,NA,"02-02-2017 17:46:16",0.6494,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.6494,623.16,30,1.5,0.600000000000136,2,507.971408911413,330.382110154913,1602.71518495544,1021.99653599262,423.309507426178,275.318425129095,"grav"
"C1","2","22012017",637,"0617",286,1035.8,0.654,389,1035.4,NA,"10-02-2017 17:52:30",0.651,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.6404,623.16,30,1.5,0.399999999999864,2.39999999999986,335.432597591332,215.148658064907,1938.14778254678,1237.14519405753,209.645373494582,134.467911290567,"grav"
"C1","2","24012017",1004,"0923",310,1035.3,0.444,270,1035,NA,"03-02-2017 10:05:42",0.6447,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.635,623.16,30,1.5,0.400000000000091,2.79999999999995,333.532609056843,212.13109285978,2271.68039160362,1449.27628691731,151.605731389474,96.4232240271725,"grav"
"C1","2","28012017",1855,"1822",337,1035,0.166,290,1034.7,NA,"09-02-2017 12:13:54",0.6286,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.618,623.16,30,1.5,0.299999999999955,3.09999999999991,245.766510973925,152.137317219054,2517.44690257754,1601.41360413636,57.1550025520755,35.3807714462916,"grav"
"C1","2","01022017",1010,"1013",352,1034.7,0.234,142,1034.5,NA,"20-02-2017 13:57:20",0.62,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.62,623.16,30,1.5,0.200000000000045,3.29999999999995,164.182797834933,101.962416456467,2681.62970041248,1703.37602059283,44.3737291445765,27.5574098530992,"grav"
