"method","descrip","time.d","mean","se","sd","n"
"gdt.hc","FI1",6.8,329.170422398324,34.6555856766312,60.0252351579815,3
"gdt.hc","FI1",11.1,347.43323744507,45.2069759865067,78.3007792651757,3
"gdt.hc","FI1",14.8,355.464431516615,51.5601108225868,89.3047315886023,3
"gdt.hc","FI1",20.1,361.787233972946,58.8760992038901,101.976395172603,3
"gdt.hc","FI1",31.1,368.180358915883,70.8172536417101,122.659081359934,3
"gdt.hc","FI2",0,0,0,0,3
"gdt.hc","FI2",1,115.324613447475,15.0291941463451,26.0313278582864,3
"gdt.hc","FI2",1.8,235.733506335531,20.7708850956122,35.9762283037755,3
"gdt.hc","FI2",3,286.201793573495,34.2279012133031,59.2844639378894,3
"gdt.hc","FI2",4.6,311.320429014778,40.5239014806787,70.1894562854511,3
"gdt.hc","FI2",6.8,324.303699858263,46.1125458498839,79.8692722783483,3
"gdt.hc","FI2",11.1,336.035323180066,55.7724320186868,96.6006859180468,3
"gdt.hc","FI2",14.8,340.699876038338,61.7207601182972,106.903492406662,3
"gdt.hc","FI2",20.1,345.004462836565,68.8558870088206,119.261894699499,3
"gdt.hc","FI2",31.1,349.415392046534,80.5834664958745,139.574658220879,3
"gdt.hc","FI3",0,0,0,0,3
"gdt.hc","FI3",1,117.479067011922,22.3324365152946,38.6809147012967,3
"gdt.hc","FI3",1.8,228.326621195247,32.8742080771686,56.9397986482473,3
"gdt.hc","FI3",3,325.499982839184,44.3658738327468,76.8439476005079,3
"gdt.hc","FI3",4.6,391.270630292813,58.1263574305865,100.677804328684,3
"gdt.hc","FI3",6.8,433.033172980842,69.9246953785405,121.113125099409,3
"gdt.hc","FI3",11.1,474.072285842548,90.5829792309053,156.894322328884,3
"gdt.hc","FI3",14.8,492.267301189269,102.96402131975,178.338916277412,3
"gdt.hc","FI3",20.1,510.637908606714,117.002848492373,202.654878219074,3
"gdt.hc","FI3",31.1,528.331157746473,141.0391200506,244.286921782445,3
"gdv","Cellulose",0,0,0,0,2
"gdv","Cellulose",1,0.569502061292708,2.70240289399271,3.82177482368079,2
"gdv","Cellulose",1.8,18.5521391421832,22.8089906357123,32.2567839010653,2
"gdv","Cellulose",3,191.406969947148,27.3539841644354,38.6843753902835,2
"gdv","Cellulose",4.6,332.075888063585,25.9904194851725,36.7560037276969,2
"gdv","Cellulose",6.8,378.46507635977,17.7023727401397,25.0349356152894,2
"gdv","Cellulose",11.1,379.604080482408,23.1058142029208,32.6765558154435,2
"gdv","Cellulose",14.8,397.586717563298,43.2087688252587,61.1064268861246,2
"gdv","Cellulose",20.1,396.177593618571,33.3112075026989,47.1091614293411,2
"gdv","Cellulose",31.1,412.928997293593,34.4178887966652,48.674245124493,2
"gdv","Ethanol",0,0,0,0,3
"gdv","Ethanol",1,65.6156123600212,12.3380317103831,21.3700977877795,3
"gdv","Ethanol",1.8,131.895563935337,13.1926078781366,22.850267129266,3
"gdv","Ethanol",3,466.595860869586,6.28623285877669,10.8880746996102,3
"gdv","Ethanol",4.6,607.88637174422,18.4566003100331,31.9677694719689,3
"gdv","Ethanol",6.8,631.679396739597,18.3517257480502,31.786121402193,3
"gdv","Ethanol",11.1,607.790379450043,16.9788399347675,29.4082134205968,3
"gdv","Ethanol",14.8,617.089334095271,16.3258560110633,28.2772120882155,3
"gdv","Ethanol",20.1,628.393125225977,22.8858173573143,39.63939843561,3
"gdv","Ethanol",31.1,621.193173035433,12.9210449324339,22.3799063098558,3
"gdv","FI1",0,0,0,0,3
"gdv","FI1",1,99.2104837860384,7.72434893064901,13.3789648032744,3
"gdv","FI1",1.8,215.766822861698,11.8468400845018,20.5193289355006,3
"gdv","FI1",3,262.371191022015,18.1728778655572,31.4763477828889,3
"gdv","FI1",4.6,301.825777741299,19.1980663599464,33.252026342506,3
"gdv","FI1",6.8,317.774427142749,24.3407728829408,42.1594553287482,3
"gdv","FI1",11.1,318.512245924334,26.9432063128695,46.6670022527004,3
"gdv","FI1",14.8,316.704824842141,27.9787184054914,48.4605618089736,3
"gdv","FI1",20.1,322.334023349349,29.7952665466883,51.6069154839214,3
"gdv","FI1",31.1,326.241511584137,30.3943397130613,52.6445406455305,3
"gdv","FI2",0,0,0,0,3
"gdv","FI2",1,120.844740724592,16.900780672389,29.2730108121558,3
"gdv","FI2",1.8,249.153970837328,28.754898048552,49.8049443865553,3
"gdv","FI2",3,296.190323516869,40.5184143963093,70.179952376538,3
"gdv","FI2",4.6,325.434347507021,46.7403765916623,80.9567070216621,3
"gdv","FI2",6.8,330.016294907819,44.5101099317862,77.0937718523297,3
"gdv","FI2",11.1,323.859849644669,47.5242288454716,82.3143789508873,3
"gdv","FI2",14.8,325.422854988245,53.6059147632138,92.8481679560928,3
"gdv","FI2",20.1,329.990382105772,55.4084047540232,95.9701722003091,3
"gdv","FI2",31.1,326.926579757471,52.8776761338845,91.5868216500602,3
"gdv","FI3",0,0,0,0,3
"gdv","FI3",1,124.657801844546,1.57470656960595,2.72747178557001,3
"gdv","FI3",1.8,222.90740387438,8.46143277733555,14.6556314751738,3
"gdv","FI3",3,307.270276578198,8.66949532657904,15.0160063816158,3
"gdv","FI3",4.6,394.159624292502,14.6273760511226,25.3353585019605,3
"gdv","FI3",6.8,431.928078422736,10.024227203169,17.3624708225028,3
"gdv","FI3",11.1,434.501122483392,11.6380635271098,20.1577173306684,3
"gdv","FI3",14.8,445.861376798939,12.7517476684596,22.0866748470699,3
"gdv","FI3",20.1,457.758099389199,23.4565101163535,40.6278672897775,3
"gdv","FI3",31.1,468.581885429964,15.0444142560282,26.0576898615544,3
