"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","xCH4.GC","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"2","B2","17022017",1720,"1707",401,849.7,0.166,120,849.5,NA,"27-02-2017 11:46:24",0.5891,0.5891,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,3.70000000000005,-0.100000000000023,3.80000000000007,148.626207667121,2749.58484184115,0.518704961051564,"",77.2554119951714,1429.22512191036,13.5114734242837,7.02321927228831
"2","B3","17012017",1520,"1520",190,847.9,0,0,847.9,NA,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,20,30,1.01325,1.5,0,0,0,0,0,0,0,0,0.466823623502707,"",0,0,NA,NA
"2","B3","18012017",609,"1527",219,847.9,1.044,852,846.9,NA,"17-02-2017 12:51:20",0.5525,0.5429,2017-01-18 15:27:00,2017-01-17 15:20:00,1,20,30,1.01325,1.5,1,1,0,1,0,1,708.714140265142,708.714140265142,0.466823623502707,"",331.616080609859,331.616080609859,708.714140265142,331.616080609859
"2","B3","19012017",1143,"1103",246,846.9,1.135,929,845.7,NA,"06-02-2017 11:42:33",0.5027,0.4909,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,20,30,1.01325,1.5,1.19999999999993,1.19999999999993,0,2.19999999999993,0,2.19999999999993,850.456968318122,1559.17110858326,0.466823623502707,"",397.939296731808,729.555377341666,1063.07121039765,497.424120914759
"2","B3","20012017",1521,"1450",264,845.7,0.438,244,845.3,NA,"02-02-2017 15:57:44",0.5415,0.5415,2017-01-20 14:50:00,2017-01-17 15:20:00,3,20,30,1.01325,1.5,0.400000000000091,0.400000000000091,0,2.60000000000002,0,2.60000000000002,283.485656106121,1842.65676468938,0.466823623502707,"",132.646432243974,862.20180958564,236.238046755101,110.538693536645
"2","B3","22012017",648,"0617",291,845.3,0.283,229,845.1,NA,"10-02-2017 15:51:44",0.5595,0.5481,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,20,30,1.01325,1.5,0.199999999999932,0.199999999999932,0,2.79999999999995,0,2.79999999999995,141.74282805298,1984.39959274236,0.466823623502707,"",66.3232161219491,928.525025707589,88.5892675331125,41.4520100762182
"2","B3","24012017",940,"0923",306,845.1,0.178,135,844.9,NA,"03-02-2017 11:34:15",0.5647,0.5543,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,3,0,3,141.742828053061,2126.14242079543,0.466823623502707,"",66.3232161219868,994.848241829576,64.4285582059366,30.1469164190849
"2","B3","28012017",1851,"1822",336,844.9,0.21,155,844.7,NA,NA,NA,NA,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,20,30,1.01325,1.5,0.199999999999932,0.199999999999932,0,3.19999999999993,0,3.19999999999993,141.74282805298,2267.88524884841,0.466823623502707,"",66.3232161219491,1061.17145795152,32.963448384414,15.4240037492905
"2","B3","01022017",1043,"1013",363,844.7,0.11,78,844.6,NA,"20-02-2017 11:33:16",0.5661,0.5661,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.29999999999995,0,3.29999999999995,70.8714140265303,2338.75666287494,0.466823623502707,"",33.1616080609934,1094.33306601252,19.1544362233866,8.96259677324146
"2","B3","06022017",1749,"1701",387,844.6,0.107,75,844.5,NA,"08-02-2017 12:05:12",0.5801,0.5683,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.39999999999998,0,3.39999999999998,70.8714140265303,2409.62807690147,0.466823623502707,"",33.1616080609934,1127.49467407351,13.3719649106661,6.25690718131951
"2","B3","17022017",1724,"1707",402,844.5,0.146,105,844.3,NA,"27-02-2017 15:02:03",0.5761,0.5761,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,3.60000000000002,0,3.60000000000002,141.742828053061,2551.37090495453,0.466823623502707,"",66.3232161219868,1193.8178901955,12.8857116411873,6.02938328381698
"2","C1","17012017",1520,"1520",191,1037.8,0,0,1037.8,NA,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,20,30,1.01325,1.5,0,0,0,0,0,0,0,0,0.567258117094499,"",0,0,NA,NA
"2","C1","18012017",1553,"1527",214,1037.8,1.107,670,1037,NA,"17-02-2017 14:19:52",0.6443,0.6354,2017-01-18 15:27:00,2017-01-17 15:20:00,1,20,30,1.01325,1.5,0.799999999999955,0.799999999999955,0,0.799999999999955,0,0.799999999999955,622.796757417359,622.796757417359,0.567258117094499,"",353.954936886902,353.954936886902,622.796757417359,353.954936886902
"2","C1","19012017",1130,"1103",241,1037,0.946,567,1036.4,NA,"06-02-2017 13:10:28",0.6361,0.6251,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,20,30,1.01325,1.5,0.599999999999909,0.599999999999909,0,1.39999999999986,0,1.39999999999986,467.097568062975,1089.89432548033,0.567258117094499,"",265.466202665151,619.421139552053,583.871960078718,331.832753331439
"2","C1","20012017",1507,"1450",259,1036.4,0.878,538,1035.8,NA,"02-02-2017 17:46:16",0.6494,0.6494,2017-01-20 14:50:00,2017-01-17 15:20:00,3,20,30,1.01325,1.5,0.600000000000136,0.600000000000136,0,2,0,2,467.097568063152,1556.99189354349,0.567258117094499,"",265.466202665252,884.887342217304,389.24797338596,221.221835554376
