"method","time.d","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gd01",31.1,"E3","2","Ethanol","Ethanol","Ethanol",536.89,331.33,1.52,871.6,NA,871.6,NA,1.86000000000001,1000,19.86,1.52,6.5802138,4.32908802631579,1120,790.15,NA,678.358684949414,0.834041020561189,0.118828481606068,2,20.1487512173479,860.163166095821,181.804481146407,0.211360458471613,25.9022636911437,0
"gd01",31.1,"A1","2","FI1","A","A",538.12,281.87,3.89,826.2,NA,826.2,NA,2.32000000000005,821,19.86,3.19369,5.5979382,1.75281201368949,1120,837.24,NA,384.831800668106,0.834041020561189,0.118828481606068,2,20.1487512173479,458.442934643408,73.611133975302,0.160567713913094,10.4876127959515,0
"gd01",31.1,"A2","2","FI1","A","A",540.96,296.05,3.82,842.7,NA,842.7,NA,1.87,821,19.86,3.13622,5.879553,1.87472594397077,1120,823.13,NA,391.356347950333,0.834041020561189,0.118828481606068,2,20.1487512173479,470.087382168959,78.7310342186262,0.16748170064758,11.2170612965533,0
"gd01",31.1,"A3","2","FI1","A","A",527.29,296.7,3.49,839.3,NA,839.3,NA,11.8199999999999,821,19.86,2.86529,5.892462,2.05649759710186,1120,822.81,"May be error in tare. Check original data sheet.",397.255467848142,0.834041020561189,0.118828481606068,2,20.1487512173479,483.620188627018,86.3647207788757,0.178579643302449,12.3046569431088,0
"gd01",31.1,"B1","2","FI2","B","B",537.92,301.66,3.94,845.4,NA,845.4,NA,1.88,858.47,19.86,3.3823718,5.9909676,1.77123271900505,1120,817.4,NA,415.63858331095,0.834041020561189,0.118828481606068,2,20.1487512173479,490.023313653868,74.3847303429174,0.15179834973211,10.5978295352647,0
"gd01",31.1,"B2","2","FI2","B","B",537.39,310.41,3.51,853.2,NA,853.2,NA,1.8900000000001,858.47,19.86,3.0132297,6.1647426,2.04589202077757,1120,809.08,NA,388.397356072113,0.834041020561189,0.118828481606068,2,20.1487512173479,474.316684821726,85.9193287496133,0.181143382678824,12.2412005215996,0
"gd01",31.1,"B3","2","FI2","B","B",537.31,302.25,3.45,847.9,NA,847.9,NA,4.88999999999999,858.47,19.86,2.9617215,6.002685,2.02675538533924,1120,817.3,NA,340.047428570772,0.834041020561189,0.118828481606068,2,20.1487512173479,425.16309473473,85.1156661639588,0.200195330258061,12.126700152406,0
"gd01",31.1,"C1","2","FI3","C","C",536.09,496.42,3.42,1037.8,NA,1037.8,NA,1.86999999999989,799.27,19.86,2.7335034,9.8589012,3.60669066663681,1120,623.16,NA,441.033947892124,0.834041020561189,0.118828481606068,2,20.1487512173479,592.500612768775,151.466664876651,0.255639676335256,21.5799383453791,0
"gd01",31.1,"C2","2","FI3","C","C",536.44,480.16,3.6,1022.1,NA,1022.1,NA,1.89999999999986,799.27,19.86,2.877372,9.5359776,3.31412747465396,1120,639.24,NA,532.277167848171,0.834041020561189,0.118828481606068,2,20.1487512173479,671.457342129654,139.180174281483,0.207280739294692,19.8294428832871,0
"gd01",31.1,"C3","2","FI3","C","C",537.69,506.59,3.09,1049.3,NA,1049.3,NA,1.93000000000006,799.27,19.86,2.4697443,10.0608774,4.07365143023106,1120,613.32,NA,501.008841686002,0.834041020561189,0.118828481606068,2,20.1487512173479,672.086001619559,171.077159933558,0.254546530535236,24.3739080587484,0
