"exp","bottle","date.time","time","pres","pres.resid","xCH4.p","headspace.p","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.p","vCH4.p","cvBg.p","cvCH4.p","rvBg.p","rvCH4.p","mass","xCH4.m","headspace.m","massloss","cmassloss","vBg.m","vCH4.m","cvBg.m","cvCH4.m","rvBg.m","rvCH4.m","err.m"
"TSR1",4,"2016-04-28 10:30:00.00",1.89583333333333,1.403,1.003,0.301514456172556,502.423333333333,0.714896650035638,1.008,1,22,143.738133243028,43.471631368922,143.738133243028,43.471631368922,NA,NA,473.83,0.301514456172556,502.423333333333,0.170000000000016,0.170000000000016,167.729393712322,50.7274597817869,167.729393712322,50.7274597817869,88.4726472328733,26.7573414233602,16.6909503609109
"TSR1",4,"2016-04-29 16:00:00.00",3.125,1.442,1.005,0.385418282506049,502.423333333333,0.696948682385576,1.003,0.714896650035638,35,188.447564213694,72.8264543969481,332.185697456723,116.29808576587,153.313272580632,59.2486408653136,473.56,0.385418282506049,502.423333333333,0.269999999999982,0.439999999999998,177.48673913443,68.5905915927846,345.216132846752,119.318051374572,144.395991160213,55.8025151941297,-5.81637928035808
"TSR1",4,"2016-04-30 13:20:00.00",4.01388888888889,1.311,1.005,0.455119896305898,502.423333333333,0.766590389016018,1.005,0.696948682385576,35,128.770286103441,58.7456041608389,460.955983560164,175.043689926709,144.866571866371,66.0888046809437,473.37,0.455119896305898,502.423333333333,0.189999999999998,0.629999999999995,132.553087187831,60.4713356307857,477.769220034583,179.789387005357,149.12222308631,68.0302525846338,2.93763507005892
"TSR1",4,"2016-05-02 11:00:00.00",5.91666666666667,1.532,1.008,0.485812860111054,502.423333333333,0.657963446475196,1.005,0.766590389016018,35,228.919918349497,111.462345360154,689.875901909661,286.506035286863,120.30827825667,58.5787508462123,473.07,0.485812860111054,502.423333333333,0.300000000000011,0.930000000000007,215.097043905921,104.731913092798,692.866263940504,284.521300098155,113.043701906761,55.0415893626384,-6.03830131656451
"TSR1",4,"2016-05-04 14:30:00.00",8.0625,1.609,1.007,0.498944436193197,502.423333333333,0.625854568054692,1.008,0.657963446475196,35,259.184775620958,129.602183147373,949.060677530619,416.108218434236,120.785138153457,60.3971338939215,472.72,0.498944436193197,502.423333333333,0.349999999999966,1.27999999999997,253.958375413608,126.988785523027,946.824639354112,411.510085621182,118.349534173332,59.1792398553913,-2.01647654451491
"TSR1",4,"2016-05-09 10:45:00.00",12.90625,1.653,0.997,0.528586100650462,502.423333333333,0.603145795523291,1.007,0.625854568054692,35,278.430259192757,147.477755557665,1227.49093672338,563.585973991901,57.4823760914078,30.4470205022276,472.34,0.528586100650462,502.423333333333,0.380000000000052,1.66000000000003,283.402621047795,150.111495038164,1230.22726040191,561.621580659347,58.5089282163189,30.9907602659436,1.78585541293331
"TSR1",5,"2016-04-28 10:30:00.00",1.89583333333333,1.369,1.003,0.276938915579959,502.42,0.732651570489408,1.008,1,22,128.595122878634,35.7257211869445,128.595122878634,35.7257211869445,NA,NA,475.54,0.276938915579959,502.42,0.229999999999961,0.229999999999961,208.644478215449,57.9646746242126,208.644478215449,57.9646746242126,110.05423026749,30.5747734281562,62.2491378715542
"TSR1",5,"2016-04-29 16:00:00.00",3.125,1.294,1.005,0.35634066448292,502.42,0.776661514683153,1.003,0.732651570489408,35,122.973767421952,43.9439862529253,251.568890300586,79.6697074398698,100.046454851757,35.7510396633968,475.37,0.35634066448292,502.42,0.170000000000016,0.399999999999977,109.120839348089,38.9937200815082,317.765317563537,96.9583947057208,88.7762760798008,31.7237044730913,-11.2649456581505
"TSR1",5,"2016-04-30 13:20:00.00",4.01388888888889,1.292,1.005,0.412574016022292,502.42,0.777863777089783,1.005,0.776661514683153,35,122.28283801995,50.5803822850177,373.851728320535,130.250089724887,137.568192772443,56.9029300706448,475.2,0.412574016022292,502.42,0.170000000000016,0.569999999999993,114.323623891052,47.2881779181033,432.088941454589,144.246572623824,128.614076877433,53.1992001578661,-6.50885623671844
"TSR1",5,"2016-05-02 11:00:00.00",5.91666666666667,1.471,1.008,0.454756413415572,502.42,0.685248130523453,1.005,0.777863777089783,35,202.031103116987,92.0940665828421,575.882831437522,222.34415630773,106.176930105278,48.3998014158002,474.92,0.454756413415572,502.42,0.279999999999973,0.849999999999966,195.278995892351,89.0161790559894,627.367937346941,233.262751679813,102.628377403279,46.782225489279,-3.34211273435743
