"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.ino.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gdv",0,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,0,0,0,3,NA,0,0,NA,0,0
"gdv",0.840277777777778,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,-0.627445684249856,0.185277045730887,0.00109026772835532,3,1.01922992776288,17.2514998457939,17.8789455300437,1.03637050052798,0.105209132904367,0
"gdv",1.84375,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,11.2232881100214,0.293557708779613,0.00236942392008014,3,1.39800880423442,39.551148501419,28.3278603913976,0.71623357259477,0.228645707500254,0
"gdv",2.85069444444444,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,84.8920156002113,0.400813615580472,0.00292979920547291,3,1.26606504434857,123.569903475604,38.6778878753923,0.313004111741727,0.282721047294221,0
"gdv",3.80902777777778,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,180.894035656905,0.468144749468103,0.00505619736754088,3,1.87070147505168,226.069272788403,45.175237131498,0.199829178792384,0.487915148726619,0
"gdv",4.86111111111111,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,249.314375282126,0.532895702300144,0.00862897647114638,3,2.80464368559009,300.737978227833,51.4236029457068,0.170991383425306,0.832682751924604,0
"gdv",5.85902777777778,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,283.276981586073,0.571248380174331,0.0101021177662965,3,3.06300758873573,338.401558043846,55.1245764577731,0.162896934566214,0.974838586016985,0
"gdv",6.83958333333333,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,304.323440167118,0.633363999647819,0.00875595765046442,3,2.39447829809694,365.44207688611,61.1186367189914,0.167245756809879,0.844936237397734,0
"gdv",8.91666666666667,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,324.945523369315,0.692144096677639,0.0128283461831002,3,3.21021987659318,391.736347643441,66.7908242741259,0.170499430741921,1.2379153701605,0
"gdv",10.8784722222222,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,336.050537451616,0.741282544708639,0.0123341400208043,3,2.8819452631383,407.583145211718,71.5326077601019,0.175504332307325,1.19022524739626,0
"gdv",13.125,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,342.24161642585,0.820418116433264,0.0132127189450647,3,2.78944358499444,421.410683256055,79.1690668302045,0.187866776937167,1.2750067413408,0
"gdv",15.8541666666667,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,346.828613374375,0.902984526969486,0.0138492332451677,3,2.65647692845938,433.965209861396,87.1365964870218,0.200791663725422,1.33642937713329,0
"gdv",18.9097222222222,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,351.535190100148,0.963841338924439,0.015575834032775,3,2.79902249732637,444.544373888972,93.0091837888245,0.209223621424245,1.50304365637109,0
"gdv",22.8611111111111,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,355.771877347331,1.06277510446818,0.0138086873168339,3,2.25046182565189,458.328014987136,102.556137639804,0.223761442212261,1.3325167583775,0
"gdv",27.1458333333333,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,360.067409444729,1.13789927112004,0.0114689091319048,3,1.74573741525441,469.872911830501,109.805502385772,0.233691918859503,1.10673181801583,0
"gdv",0,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,0,0,0,3,NA,0,0,NA,0,0
