"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","leaked"
"I3","13112018",0.840277777773736,"0840",28,183.7478,183.7115,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.0369000000000028,0.0369000000000028,0.0363000000000113,0.000599999999991496,0.0363000000000113,0.000599999999991496,FALSE
"I3","14112018",1.84375,"0845",18.25,183.7125,183.6903,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.0211999999999932,0.058099999999996,0.022199999999998,-0.00100000000000477,0.0585000000000093,-0.000400000000013279,FALSE
"I3","15112018",2.85069444444525,"0855",15,183.6873,183.6684,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.0219000000000165,0.0800000000000125,0.0189000000000021,0.00300000000001432,0.0774000000000115,0.00260000000000105,FALSE
"I3","16112018",3.80902777777374,"0755",11.5,183.6695,183.6548,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.0135999999999967,0.0936000000000092,0.0147000000000048,-0.00110000000000809,0.0921000000000163,0.00149999999999295,FALSE
"I3","17112018",4.86111111110949,"0910",10.8,183.6529,183.6405,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.0142999999999915,0.107900000000001,0.0123999999999853,0.00190000000000623,0.104500000000002,0.00339999999999918,FALSE
"I3","18112018",5.85902777777665,"0907",8.2,183.6433,183.6338,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.00669999999999504,0.114599999999996,0.00950000000000273,-0.00280000000000769,0.114000000000004,0.000599999999991496,FALSE
"I3","19112018",6.8395833333343,"0839",7.2,183.6313,183.6228,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.0109999999999957,0.125599999999991,0.00849999999999795,0.00249999999999773,0.122500000000002,0.00309999999998922,FALSE
"I3","21112018",8.91666666666424,"1030",13.1,183.6265,183.6108,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.0120000000000005,0.137599999999992,0.0156999999999812,-0.00369999999998072,0.138199999999983,-0.000599999999991496,FALSE
"I3","23112018",10.878472222219,"0935",11,183.6144,183.6018,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.00900000000001455,0.146600000000007,0.012599999999992,-0.0035999999999774,0.150799999999975,-0.0041999999999689,FALSE
"I3","25112018",13.125,"1530",12.33,183.6009,183.5867,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.0150999999999897,0.161699999999996,0.0141999999999882,0.000900000000001455,0.164999999999964,-0.00329999999996744,FALSE
"I3","28112018",15.8541666666642,"0900",12.33,183.5848,183.5714,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0152999999999963,0.176999999999992,0.0133999999999901,0.00190000000000623,0.178399999999954,-0.00139999999996121,FALSE
"I3","01122018",18.909722222219,"1020",11,183.5727,183.5592,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0122000000000071,0.1892,0.0134999999999934,-0.00129999999998631,0.191899999999947,-0.00269999999994752,FALSE
"I3","05122018",22.8611111111095,"0910",11.8,183.5546,183.5396,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.019599999999997,0.208799999999997,0.0149999999999864,0.0046000000000106,0.206899999999933,0.00190000000006307,FALSE
"I3","09122018",27.1458333333285,"1600",11.6,183.539,183.5262,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.0134000000000185,0.222200000000015,0.0127999999999986,0.000600000000019918,0.219699999999932,0.00250000000008299,FALSE
"L1","12112018",0,"1230",0,185.2874,185.2874,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
"L1","13112018",0.840277777773736,"0840",30,185.287,185.2481,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.0392999999999972,0.0392999999999972,0.0389000000000124,0.000399999999984857,0.0389000000000124,0.000399999999984857,FALSE
"L1","14112018",1.84375,"0845",48.5,185.2492,185.1973,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.0507999999999811,0.0900999999999783,0.0518999999999892,-0.00110000000000809,0.0908000000000015,-0.000700000000023238,FALSE
"L1","15112018",2.85069444444525,"0855",156,185.194,185.0059,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.191400000000016,0.281499999999994,0.188099999999991,0.00330000000002428,0.278899999999993,0.00260000000000105,FALSE
"L1","16112018",3.80902777777374,"0755",186,185.0063,184.7724,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.233499999999992,0.514999999999986,0.233900000000006,-0.000400000000013279,0.512799999999999,0.00219999999998777,FALSE
"L1","17112018",4.86111111110949,"0910",128.5,184.7718,184.6023,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.170099999999991,0.685099999999977,0.169499999999999,0.000599999999991496,0.682299999999998,0.00279999999997926,FALSE
"L1","18112018",5.85902777777665,"0907",67,184.6049,184.5165,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.0858000000000061,0.770899999999983,0.0883999999999787,-0.00259999999997262,0.770699999999977,0.000200000000006639,FALSE
"L1","19112018",6.8395833333343,"0839",44.5,184.5132,184.4549,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.0615999999999985,0.832499999999982,0.0583000000000027,0.00329999999999586,0.828999999999979,0.0035000000000025,FALSE
"L1","21112018",8.91666666666424,"1030",52,184.4595,184.395,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.059899999999999,0.892399999999981,0.0644999999999811,-0.00459999999998217,0.89349999999996,-0.00109999999997967,FALSE
"L1","23112018",10.878472222219,"0935",33.1,184.3988,184.3589,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.0361000000000047,0.928499999999985,0.0398999999999887,-0.00379999999998404,0.933399999999949,-0.00489999999996371,FALSE
"L1","25112018",13.125,"1530",25,184.3579,184.3274,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.0314999999999941,0.95999999999998,0.0304999999999893,0.00100000000000477,0.963899999999938,-0.00389999999995894,FALSE
"L1","28112018",15.8541666666642,"0900",22.66,184.3268,184.2988,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0286000000000115,0.988599999999991,0.0279999999999916,0.000600000000019918,0.99189999999993,-0.00329999999993902,FALSE
"L1","01122018",18.909722222219,"1020",20.1,184.2999,184.2747,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0241000000000042,1.0127,0.0252000000000123,-0.00110000000000809,1.01709999999994,-0.00439999999994711,FALSE
"L1","05122018",22.8611111111095,"0910",21.6,184.2694,184.2433,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.0313999999999908,1.04409999999999,0.0260999999999854,0.00530000000000541,1.04319999999993,0.000900000000058299,FALSE
"L1","09122018",27.1458333333285,"1600",21.1,184.243,184.217,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.026299999999992,1.07039999999998,0.025999999999982,0.000300000000009959,1.06919999999991,0.00120000000006826,FALSE
"L2","12112018",0,"1230",0,188.50425,188.50425,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
"L2","13112018",0.840277777773736,"0840",31,188.5035,188.4641,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.0401500000000112,0.0401500000000112,0.0394000000000005,0.000750000000010687,0.0394000000000005,0.000750000000010687,FALSE
"L2","14112018",1.84375,"0845",48,188.4655,188.4084,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.0557000000000016,0.0958500000000129,0.0570999999999913,-0.00139999999998963,0.0964999999999918,-0.000649999999978945,FALSE
"L2","15112018",2.85069444444525,"0855",167.7,188.4049,188.2022,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.206199999999995,0.302050000000008,0.202699999999993,0.0035000000000025,0.299199999999985,0.00285000000002356,FALSE
"L2","16112018",3.80902777777374,"0755",182,188.2036,187.9747,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.227499999999992,0.52955,0.228899999999982,-0.00139999999998963,0.528099999999966,0.00145000000003392,FALSE
"L2","17112018",4.86111111110949,"0910",124,187.9725,187.8119,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.162800000000004,0.692350000000005,0.160599999999988,0.00220000000001619,0.688699999999955,0.00365000000005011,FALSE
