"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"I3","13112018",0.840277777773736,"0840",348,0,183.2655,183.2331,11.85,22.27,0.652696365767878,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.347303634232122,80.013,30,1361.25,1013.25,0.74435261707989,1013.25,1,30,0,24.7561730234473,8.59790886072245,20.9924651274747,8.59790886072245,29.4618918626149,10.2322221152399
"I3","14112018",1.84375,"0845",262,0,183.2337,183.2102,21.96,24.41,0.526417942635324,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.473582057364675,80.013,30,1275.25,1013.25,0.794550088217996,1013.25,0.74435261707989,30,0.347303634232122,17.8635573964609,8.45986026366793,38.8560225239357,17.0577691243904,17.8017457791722,8.43058739078327
"I3","15112018",2.85069444444525,"0855",202,0,183.208,183.1925,28.86,26.04,0.47431693989071,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.52568306010929,80.013,30,1215.25,1013.25,0.833779057807036,1013.25,0.794550088217996,30,0.473582057364675,13.7473698739143,7.22675946377352,52.60339239785,24.2845285881639,13.652560426508,7.1769197433337
"I3","16112018",3.80902777777374,"0755",191,0,183.192,183.178,33.8,27.18,0.445719908166612,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.554280091833388,80.013,30,1204.25,1013.25,0.841395059165456,1013.25,0.833779057807036,30,0.52568306010929,13.0837262892855,7.25204900914807,65.6871186871354,31.536577597312,13.652583954037,7.56735548780668
"I3","17112018",4.86111111110949,"0910",160,0,183.176,183.1627,37.58,27.87,0.425821237585943,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.574178762414056,80.013,30,1173.25,1013.25,0.86362667803111,1013.25,0.841395059165456,30,0.554280091833388,10.90151447789,6.25941809135381,76.5886331650255,37.7959956886658,10.361835543341,5.94954590861353
"I3","18112018",5.85902777777665,"0907",140,0,183.164,183.155,40.45,28.29,0.411550771021239,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.58844922897876,80.013,30,1153.25,1013.25,0.878603945371775,1013.25,0.86362667803111,30,0.574178762414056,9.54611637832369,5.61740482256609,86.1347495433492,43.4134005112319,9.56604564007384,5.62913218127708
"I3","19112018",6.8395833333343,"0839",134,0,183.1519,183.1415,42.77,28.84,0.402737047898338,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.597262952101662,80.013,30,1147.25,1013.25,0.883198954020484,1013.25,0.878603945371775,30,0.58844922897876,9.16467276929626,5.4737195132356,95.2994223126454,48.8871200244675,9.34640848993386,5.58226352624593
"I3","21112018",8.91666666666424,"1030",206,0,183.1454,183.1298,48.69,29.61,0.37816091954023,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.62183908045977,80.013,30,1219.25,1013.25,0.831043674389994,1013.25,0.883198954020484,30,0.597262952101662,14.3005642917048,8.89264974920951,109.59998660435,57.779769773677,6.88492563692907,4.28131582710187
"I3","23112018",10.878472222219,"0935",182,0,183.1316,183.1208,50.36,29.16,0.366700201207243,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.633299798792757,80.013,30,1195.25,1013.25,0.847730600292826,1013.25,0.831043674389994,30,0.62183908045977,12.4351911612353,7.87520406035978,122.035177765585,65.6549738340368,6.3386461140456,4.01426330864357
"I3","25112018",13.125,"1530",190,0,183.1197,183.1045,52.35,29.82,0.362906170135086,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.637093829864914,80.013,30,1203.25,1013.25,0.84209432786204,1013.25,0.847730600292826,30,0.633299798792757,13.0548664888325,8.3171748897454,135.090044254418,73.9721487237822,5.811130678182,3.70223549960846
"I3","28112018",15.8541666666642,"0900",180,0,183.102,183.0891,54.407568,30.636952,0.36024604524783,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.63975395475217,80.013,30,1193.25,1013.25,0.849151477058454,1013.25,0.84209432786204,30,0.637093829864914,12.3264021048602,7.88586449444976,147.416446359278,81.8580132182319,4.51654428269685,2.88947706666862
"I3","01122018",18.909722222219,"1020",182,0,183.0873,183.0746,55.46,30.39,0.353989516598719,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.646010483401281,80.013,30,1195.25,1013.25,0.847730600292826,1013.25,0.849151477058454,30,0.63975395475217,12.4900648808475,8.06871285138968,159.906511240126,89.9267260696216,4.08765759736829,2.64066966045481
